S/N,customer ID,Sex,Lga,Sen. Zone,Amount Granted,Principal Balance,Date Granted,Expiry Date,Principal paid,Interest paid,Principal past due,Interest past due,Paid amount,Balance,Total amount to be paid,Percentage
992,loan992,Female,OWAN EAST,EDO NORTH,"500,000.00","500,000.00",21/06/2022,20/06/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
993,loan993,Female,OREDO,EDO SOUTH,"150,000.00","150,000.00",04/07/2022,03/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
994,loan994,Female,ESAN NORTH-EAST,EDO CENTRAL,"500,000.00","500,000.00",15/09/2022,14/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
995,loan995,Female,OWAN EAST,EDO NORTH,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
996,loan996,Female,ETSAKO EAST,EDO NORTH,"200,000.00","170,145.21",24/06/2022,22/06/2023,"29,854.79","7,545.21","68,670.34","3,008.22","37,400.00","180,600.00","218,000.00",17.16
997,loan997,Female,AKOKO-EDO,EDO NORTH,"200,000.00","200,000.00",17/06/2022,15/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
998,loan998,Male,OWAN EAST,EDO NORTH,"500,000.00","500,000.00",21/06/2022,20/06/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
999,loan999,Male,OWAN EAST,EDO NORTH,"200,000.00","200,000.00",06/07/2022,05/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1000,loan1000,Female,AKOKO-EDO,EDO NORTH,"500,000.00","458,333.33",22/08/2022,21/08/2023,"41,666.67","4,833.33",0.00,0.00,"46,500.00","498,500.00","545,000.00",8.53
1001,loan1001,Male,OREDO,EDO SOUTH,"200,000.00","187,365.76",05/07/2022,04/07/2023,"12,634.24","6,065.76","66,666.68","6,065.76","18,700.00","199,300.00","218,000.00",8.58
1002,loan1002,Male,ESAN WEST,EDO CENTRAL,"400,000.00","214,399.95",07/04/2022,05/04/2023,"185,600.05","35,999.95","242,323.25","8,876.70","221,600.00","214,400.00","436,000.00",50.83
1003,loan1003,Male,ESAN WEST,EDO CENTRAL,"100,000.00","99,239.73",29/06/2022,28/06/2023,760.27,739.73,0.00,0.00,"1,500.00","107,500.00","109,000.00",1.38
1004,loan1004,Male,ESAN WEST,EDO CENTRAL,"100,000.00","99,239.73",29/06/2022,28/06/2023,760.27,739.73,0.00,0.00,"1,500.00","107,500.00","109,000.00",1.38
1005,loan1005,Male,ETSAKO WEST,EDO NORTH,"200,000.00","200,000.00",13/07/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1006,loan1006,Female,OVIA SOUTH-WEST,EDO SOUTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
1007,loan1007,Male,ESAN WEST,EDO CENTRAL,"100,000.00","99,739.73",30/06/2022,29/06/2023,260.27,739.73,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
1008,loan1008,Male,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",30/06/2022,29/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1009,loan1009,Female,IGUEBEN,EDO CENTRAL,"100,000.00","99,264.38",08/07/2022,07/07/2023,735.62,764.38,0.00,0.00,"1,500.00","107,500.00","109,000.00",1.38
1010,loan1010,Male,ETSAKO EAST,EDO NORTH,"150,000.00","150,000.00",25/07/2022,24/07/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
1011,loan1011,Male,ESAN WEST,EDO CENTRAL,"300,000.00","275,000.00",17/06/2022,15/06/2023,"25,000.00","3,000.00",0.00,0.00,"28,000.00","299,000.00","327,000.00",8.56
1012,loan1012,Female,ESAN SOUTH-EAST,EDO CENTRAL,"500,000.00","500,000.00",05/07/2022,04/07/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
1013,loan1013,Male,OVIA SOUTH-WEST,EDO SOUTH,"400,000.00","400,000.00",30/06/2022,27/06/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
1014,loan1014,Female,IGUEBEN,EDO CENTRAL,"200,000.00","200,000.00",08/04/2022,07/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1015,loan1015,Female,UHUNMWONDE,EDO SOUTH,"150,000.00","150,000.00",01/07/2022,30/06/2023,0.00,500.00,0.00,0.00,500.00,"163,000.00","163,500.00",0.31
1016,loan1016,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",15/12/2022,14/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
1017,loan1017,Female,IGUEBEN,EDO CENTRAL,"500,000.00","494,821.92",05/01/2023,03/01/2024,"5,178.08",0.00,0.00,0.00,"5,178.08","539,821.92","545,000.00",0.95
1018,loan1018,Female,ETSAKO WEST,EDO NORTH,"200,000.00","200,000.00",30/06/2022,29/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1019,loan1019,Male,OVIA SOUTH-WEST,EDO SOUTH,"500,000.00","500,000.00",08/07/2022,07/07/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
1020,loan1020,Female,ORHIONMWON,EDO SOUTH,"200,000.00","167,287.67",08/04/2022,07/04/2023,"32,712.33","4,487.67","33,333.34","2,154.34","37,200.00","180,800.00","218,000.00",17.06
1021,loan1021,Female,IKPOBA OKHA,EDO SOUTH,"400,000.00","400,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
1022,loan1022,Female,OVIA SOUTH-WEST,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
1023,loan1023,Female,EGOR,EDO SOUTH,"200,000.00","185,545.21",08/04/2022,06/04/2023,"14,454.79","7,545.21","73,821.02","3,057.54","22,000.00","196,000.00","218,000.00",10.09
1024,loan1024,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",08/04/2022,07/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1025,loan1025,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1026,loan1026,Female,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,03/04/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
1027,loan1027,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",11/04/2022,10/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1028,loan1028,Female,ETSAKO WEST,EDO NORTH,"100,000.00","100,000.00",07/07/2022,06/07/2023,0.00,0.00,,,0.00,"109,000.00","109,000.00",0.00
1029,loan1029,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1030,loan1030,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","14,650.01",05/04/2022,03/04/2023,"185,349.99","18,000.01","103,740.42","2,909.59","203,350.00","14,650.00","218,000.00",93.28
1031,loan1031,Male,OVIA SOUTH-WEST,EDO SOUTH,"100,000.00","99,739.73",30/06/2022,29/06/2023,260.27,739.73,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
1032,loan1032,Male,ORHIONMWON,EDO SOUTH,"200,000.00","195,487.67",05/04/2022,03/04/2023,"4,512.33","4,487.67","50,000.01","3,487.67","9,000.00","209,000.00","218,000.00",4.13
1033,loan1033,Male,OREDO,EDO SOUTH,"400,000.00","400,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
1034,loan1034,Male,OREDO,EDO SOUTH,"400,000.00","400,000.00",04/04/2022,03/04/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
1035,loan1035,Female,OREDO,EDO SOUTH,"400,000.00","397,000.00",12/09/2022,08/09/2023,"3,000.00","3,000.00",0.00,0.00,"6,000.00","430,000.00","436,000.00",1.38
1036,loan1036,Female,ESAN WEST,EDO CENTRAL,"300,000.00","300,000.00",04/04/2022,02/04/2023,0.00,500.00,0.00,0.00,500.00,"326,500.00","327,000.00",0.15
1037,loan1037,Male,OREDO,EDO SOUTH,"400,000.00","400,000.00",05/04/2022,04/04/2023,0.00,"2,000.00",0.00,0.00,"2,000.00","434,000.00","436,000.00",0.46
1038,loan1038,Female,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",11/04/2022,10/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1039,loan1039,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","50,871.24",29/06/2022,28/06/2023,"149,128.76","16,471.24","49,553.46","2,909.59","165,600.00","52,400.00","218,000.00",75.96
1040,loan1040,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",08/04/2022,07/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1041,loan1041,Male,EGOR,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
1042,loan1042,Male,IKPOBA OKHA,EDO SOUTH,"400,000.00","400,000.00",19/04/2022,13/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
1043,loan1043,Male,ETSAKO WEST,EDO NORTH,"200,000.00","185,287.67",04/04/2022,03/04/2023,"14,712.33","4,487.67","50,000.01","3,487.67","19,200.00","198,800.00","218,000.00",8.81
1044,loan1044,Male,OWAN WEST,EDO NORTH,"500,000.00","500,000.00",08/07/2022,07/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
1045,loan1045,Female,ORHIONMWON,EDO SOUTH,"300,000.00","297,219.18",17/06/2022,16/06/2023,"2,780.82","2,219.18",0.00,0.00,"5,000.00","322,000.00","327,000.00",1.53
1046,loan1046,Male,OREDO,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
1047,loan1047,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1048,loan1048,Male,ETSAKO WEST,EDO NORTH,"200,000.00","200,000.00",07/07/2022,06/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1049,loan1049,Female,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",30/06/2022,29/06/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
1050,loan1050,Female,ESAN NORTH-EAST,EDO CENTRAL,"150,000.00","150,000.00",05/07/2022,04/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
1051,loan1051,Female,OWAN EAST,EDO NORTH,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
1052,loan1052,Male,OWAN EAST,EDO NORTH,"100,000.00","81,495.88",08/07/2022,07/07/2023,"18,504.12","7,495.88","78,325.07","1,504.11","26,000.00","83,000.00","109,000.00",23.85
1053,loan1053,Male,OWAN EAST,EDO NORTH,"100,000.00","100,000.00",23/06/2022,22/06/2023,0.00,500.00,0.00,0.00,500.00,"108,500.00","109,000.00",0.46
1054,loan1054,Male,OWAN EAST,EDO NORTH,"100,000.00","91,404.11",23/06/2022,22/06/2023,"8,595.89","1,504.11","16,406.39",764.38,"10,100.00","98,900.00","109,000.00",9.27
1055,loan1055,Female,EGOR,EDO SOUTH,"300,000.00","149,500.00",17/06/2022,16/06/2023,"150,500.00","27,000.00","173,206.85","2,293.15","177,500.00","149,500.00","327,000.00",54.28
1056,loan1056,Male,OREDO,EDO SOUTH,"300,000.00","280,524.66",05/04/2022,03/04/2023,"19,475.34","19,024.66","280,524.66","17,975.34","38,500.00","288,500.00","327,000.00",11.77
1057,loan1057,Male,OREDO,EDO SOUTH,"400,000.00","400,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
1058,loan1058,Female,OREDO,EDO SOUTH,"300,000.00","254,524.66",04/04/2022,03/04/2023,"45,475.34","9,024.66","79,731.51","2,293.15","54,500.00","272,500.00","327,000.00",16.67
1059,loan1059,Female,EGOR,EDO SOUTH,"500,000.00","500,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
1060,loan1060,Female,EGOR,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
1061,loan1061,Female,UHUNMWONDE,EDO SOUTH,"350,000.00","207,393.14",04/04/2022,03/04/2023,"142,606.86","15,793.14","90,886.77","5,350.68","158,400.00","223,100.00","381,500.00",41.52
1062,loan1062,Male,OVIA SOUTH-WEST,EDO SOUTH,"150,000.00","150,000.00",17/06/2022,15/06/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
1063,loan1063,Male,ESAN CENTRAL,EDO CENTRAL,"200,000.00","149,999.99",05/04/2022,04/04/2023,"50,000.01","5,599.99","16,666.67",479.45,"55,600.00","162,400.00","218,000.00",25.50
1064,loan1064,Male,ESAN CENTRAL,EDO CENTRAL,"300,000.00","299,719.18",07/04/2022,06/04/2023,280.82,"2,219.18",0.00,0.00,"2,500.00","324,500.00","327,000.00",0.76
1065,loan1065,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",07/04/2022,06/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1066,loan1066,Female,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1067,loan1067,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",08/04/2022,07/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1068,loan1068,Male,ETSAKO WEST,EDO NORTH,"300,000.00","300,000.00",04/04/2022,03/04/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","325,500.00","327,000.00",0.46
1069,loan1069,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
1070,loan1070,Male,OREDO,EDO SOUTH,"200,000.00","198,487.67",05/04/2022,03/04/2023,"1,512.33","4,487.67","50,000.01","3,487.67","6,000.00","212,000.00","218,000.00",2.75
1071,loan1071,Male,IGUEBEN,EDO CENTRAL,"200,000.00","200,000.00",20/04/2022,24/05/2023,0.00,0.11,0.00,0.00,0.11,"217,999.89","218,000.00",0.00
1072,loan1072,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",20/12/2022,19/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
1073,loan1073,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",14/09/2022,11/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
1074,loan1074,Male,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
1075,loan1075,Male,ORHIONMWON,EDO SOUTH,"150,000.00","149,896.58",08/07/2022,07/07/2023,103.42,"1,146.58",0.00,0.00,"1,250.00","162,250.00","163,500.00",0.76
1076,loan1076,Male,IGUEBEN,EDO CENTRAL,"300,000.00",0.00,14/07/2022,13/07/2023,"300,000.00","27,000.00","171,000.00","4,500.00","327,000.00",0.00,"327,000.00",100.00
1077,loan1077,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",05/07/2022,04/07/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
1078,loan1078,Female,UHUNMWONDE,EDO SOUTH,"300,000.00","300,000.00",04/04/2022,03/04/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","325,500.00","327,000.00",0.46
1079,loan1079,Female,EGOR,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1080,loan1080,Male,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",13/07/2022,12/07/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
1081,loan1081,Male,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",25/04/2022,24/05/2023,0.00,"1,000.35",0.00,0.00,"1,000.35","543,999.65","545,000.00",0.18
1082,loan1082,Male,OREDO,EDO SOUTH,"200,000.00","165,873.79",22/04/2022,24/05/2023,"26,605.33","2,895.10",0.00,0.00,"29,500.43","188,499.57","218,000.00",13.53
1083,loan1083,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",04/01/2023,03/01/2024,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
1084,loan1084,Female,AKOKO-EDO,EDO NORTH,"500,000.00","500,000.00",21/06/2022,20/06/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
1085,loan1085,Male,ETSAKO WEST,EDO NORTH,"100,000.00","99,764.38",13/07/2022,12/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
1086,loan1086,Male,ETSAKO WEST,EDO NORTH,"400,000.00","400,000.00",08/07/2022,07/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
1087,loan1087,Female,EGOR,EDO SOUTH,"300,000.00","251,098.63",05/05/2022,24/05/2023,"48,901.37","9,098.63","75,000.00","4,598.63","58,000.00","269,000.00","327,000.00",17.74
1088,loan1088,Male,ETSAKO WEST,EDO NORTH,"100,000.00","99,764.38",13/07/2022,12/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
1089,loan1089,Female,IGUEBEN,EDO CENTRAL,"400,000.00","400,000.00",09/12/2022,08/12/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
1090,loan1090,Male,IKPOBA OKHA,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,02/04/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
1091,loan1091,Female,OWAN EAST,EDO NORTH,"100,000.00","99,750.00",23/06/2022,22/06/2023,250.00,750.00,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
1092,loan1092,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1093,loan1093,Female,UHUNMWONDE,EDO SOUTH,"150,000.00","150,000.00",29/08/2022,28/08/2023,0.00,0.00,,,0.00,"163,500.00","163,500.00",0.00
1094,loan1094,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1095,loan1095,Female,EGOR,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,02/04/2023,0.00,0.00,0.00,0.00,0.00,"218,000.00","218,000.00",0.00
1096,loan1096,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",05/01/2023,03/01/2024,0.00,0.00,0.00,0.00,0.00,"545,000.00","545,000.00",0.00
1097,loan1097,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",07/07/2022,06/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1098,loan1098,Male,UHUNMWONDE,EDO SOUTH,"150,000.00","150,000.00",07/07/2022,06/07/2023,0.00,0.00,,,0.00,"163,500.00","163,500.00",0.00
1099,loan1099,Male,ESAN SOUTH-EAST,EDO CENTRAL,"300,000.00","300,000.00",08/04/2022,07/04/2023,0.00,500.00,0.00,0.00,500.00,"326,500.00","327,000.00",0.15
1100,loan1100,Male,OREDO,EDO SOUTH,"500,000.00","500,000.00",25/04/2022,24/05/2023,0.00,"1,250.00",0.00,0.00,"1,250.00","543,750.00","545,000.00",0.23
1101,loan1101,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",30/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1102,loan1102,Female,ESAN WEST,EDO CENTRAL,"200,000.00","188,008.22",05/04/2022,04/04/2023,"11,991.78","3,008.22","29,812.79","1,528.77","15,000.00","203,000.00","218,000.00",6.88
1103,loan1103,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","193,008.22",14/04/2022,13/04/2023,"6,991.78","3,008.22","33,333.34","2,008.22","10,000.00","208,000.00","218,000.00",4.59
1104,loan1104,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
1105,loan1105,Male,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
1106,loan1106,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
1107,loan1107,Female,OREDO,EDO SOUTH,"500,000.00","257,000.01",12/09/2022,08/09/2023,"242,999.99","45,000.01","285,356.17","7,643.84","288,000.00","257,000.00","545,000.00",52.84
1108,loan1108,Male,EGOR,EDO SOUTH,"500,000.00","500,000.00",20/12/2022,19/12/2023,0.00,"1,202.36",0.00,0.00,"1,202.36","543,797.64","545,000.00",0.22
1109,loan1109,Male,OREDO,EDO SOUTH,"400,000.00","400,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
1110,loan1110,Male,ESAN WEST,EDO CENTRAL,"300,000.00","300,000.00",30/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
1111,loan1111,Male,IGUEBEN,EDO CENTRAL,"150,000.00","66,293.87",25/07/2022,24/07/2023,"83,706.13","11,243.87","52,184.28","1,109.59","94,950.00","68,550.00","163,500.00",58.07
1112,loan1112,Female,IGUEBEN,EDO CENTRAL,"500,000.00","496,321.92",05/01/2023,04/01/2024,"3,678.08","3,821.92",0.00,0.00,"7,500.00","537,500.00","545,000.00",1.38
1113,loan1113,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
1114,loan1114,Female,OWAN EAST,EDO NORTH,"100,000.00","100,000.00",05/07/2022,04/07/2023,0.00,500.00,0.00,0.00,500.00,"108,500.00","109,000.00",0.46
1115,loan1115,Male,ETSAKO WEST,EDO NORTH,"150,000.00","150,000.00",30/06/2022,29/06/2023,0.00,"1,050.00",0.00,0.00,"1,050.00","162,450.00","163,500.00",0.64
1116,loan1116,Male,ETSAKO WEST,EDO NORTH,"400,000.00","400,000.00",08/07/2022,07/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
1117,loan1117,Female,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1118,loan1118,Female,ESAN WEST,EDO CENTRAL,"250,000.00","250,000.00",01/07/2022,30/06/2023,0.00,250.00,0.00,0.00,250.00,"272,250.00","272,500.00",0.09
1119,loan1119,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1120,loan1120,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1121,loan1121,Male,OVIA SOUTH-WEST,EDO SOUTH,"300,000.00","300,000.00",27/06/2022,26/06/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","325,500.00","327,000.00",0.46
1122,loan1122,Female,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
1123,loan1123,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",07/04/2022,06/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1124,loan1124,Female,UHUNMWONDE,EDO SOUTH,"300,000.00","300,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
1125,loan1125,Male,EGOR,EDO SOUTH,"300,000.00","300,000.00",07/07/2022,06/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
1126,loan1126,Male,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",08/04/2022,07/04/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
1127,loan1127,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","183,333.33",08/04/2022,06/04/2023,"16,666.67","2,533.33","16,666.67",479.45,"19,200.00","198,800.00","218,000.00",8.81
1128,loan1128,Female,AKOKO-EDO,EDO NORTH,"100,000.00","100,000.00",17/06/2022,15/06/2023,0.00,500.00,0.00,0.00,500.00,"108,500.00","109,000.00",0.46
1129,loan1129,Female,AKOKO-EDO,EDO NORTH,"100,000.00","100,000.00",17/06/2022,15/06/2023,0.00,500.00,0.00,0.00,500.00,"108,500.00","109,000.00",0.46
1130,loan1130,Female,EGOR,EDO SOUTH,"500,000.00","496,198.63",12/09/2022,08/09/2023,"3,801.37","3,698.63",0.00,0.00,"7,500.00","537,500.00","545,000.00",1.38
1131,loan1131,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
1132,loan1132,Female,IKPOBA OKHA,EDO SOUTH,"200,000.00","169,553.43",04/04/2022,02/04/2023,"30,446.57","10,553.43","93,211.90","3,008.22","41,000.00","177,000.00","218,000.00",18.81
1133,loan1133,Male,IKPOBA OKHA,EDO SOUTH,"300,000.00","300,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"327,000.00","327,000.00",0.00
1134,loan1134,Male,OREDO,EDO SOUTH,"200,000.00",0.00,05/04/2022,04/04/2023,"200,000.00","18,000.01","200,000.00","17,250.01","218,000.01",-0.01,"218,000.00",100.00
1135,loan1135,Male,ESAN WEST,EDO CENTRAL,"500,000.00","498,719.18",06/04/2022,05/04/2023,"1,280.82","11,219.18","125,000.01","8,719.18","12,500.00","532,500.00","545,000.00",2.29
